student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
S1969,19,Female,4.6,2,3.6,Yes,81.1,6.8,Fair,5,Bachelor,Average,4,No,83
S1970,24,Female,4.2,2.4,1.5,No,83.2,5.1,Fair,3,Bachelor,Average,9,Yes,85.9
S1971,23,Female,3.5,2.5,1.8,No,56,6.1,Good,5,High School,Average,6,No,64.5
S1972,17,Female,4.5,0.4,3,No,100,5.5,Fair,3,High School,Good,8,No,91.9
S1973,19,Male,4.4,4.3,3.2,No,76,5.4,Good,4,Master,Good,8,No,74.6
S1974,20,Male,3,2.5,1.7,No,90.1,4,Fair,3,Bachelor,Poor,7,No,70.9
S1975,18,Female,2.6,3,1.4,No,84.1,8.1,Fair,6,Bachelor,Average,3,No,66.7
S1976,24,Female,3.7,3.6,1.7,No,97.6,5.7,Good,0,Bachelor,Good,10,Yes,77.4
S1977,24,Female,5.8,1.3,2.2,Yes,89.1,7.9,Good,5,High School,Average,1,Yes,99
S1978,24,Female,1.6,3.1,2.8,No,82.7,7.8,Fair,0,Bachelor,Good,5,Yes,43.5
S1979,22,Male,1.3,2.2,1.8,No,76.1,5,Good,6,High School,Poor,10,No,53.4
S1980,20,Female,3.7,3.5,2.5,No,93,5.2,Poor,6,High School,Good,10,Yes,81
S1981,24,Male,3.6,0,3.6,No,66.3,9.6,Fair,3,Bachelor,Average,2,No,66.2
S1982,20,Female,3.8,2.4,2.2,Yes,91.5,8.6,Fair,2,High School,Good,10,No,88
S1983,21,Male,3.9,1.8,2.1,No,74,6.5,Poor,2,Master,Average,2,No,64.4
S1984,24,Male,3.2,3,0.1,No,97.5,6.8,Fair,6,High School,Average,7,No,82.4
S1985,18,Male,5.7,3.1,0,Yes,86.6,5.7,Fair,2,Master,Good,3,Yes,80.9
S1986,20,Male,1.1,1.7,2.2,No,91.4,7,Poor,5,Master,Poor,8,No,59.6
S1987,20,Female,2.3,1.6,1.7,Yes,85.8,5.6,Fair,1,High School,Average,9,No,56.2
S1988,18,Male,3.3,2.4,1.2,No,67.5,4.1,Fair,4,Bachelor,Average,8,Yes,72.5
S1989,24,Male,1,1.4,2.1,Yes,76.4,4.9,Fair,3,High School,Average,6,No,47.6
S1990,18,Male,3.2,3.5,1.7,No,91.7,6.5,Good,1,Master,Good,5,No,63.6
S1991,20,Male,6,2.1,3,No,86.7,5.1,Good,2,High School,Good,3,No,85.3
S1992,18,Male,3.5,0,1.9,No,96.8,6.4,Fair,3,Bachelor,Poor,3,No,71.8
S1993,20,Male,3.8,2.1,1,No,89,5.2,Good,1,High School,Good,7,No,70.9
S1994,20,Female,1.6,1.3,2.9,No,75.3,5.6,Good,0,High School,Average,5,No,41.7
S1995,21,Female,2.6,0.5,1.6,No,77,7.5,Fair,2,High School,Good,6,Yes,76.1
S1996,17,Female,2.9,1,2.4,Yes,86,6.8,Poor,1,High School,Average,6,Yes,65.9
S1997,20,Male,3,2.6,1.3,No,61.9,6.5,Good,5,Bachelor,Good,9,Yes,64.4
S1998,24,Male,5.4,4.1,1.1,Yes,100,7.6,Fair,0,Bachelor,Average,1,No,69.7
S1999,19,Female,4.3,2.9,1.9,No,89.4,7.1,Good,2,Bachelor,Average,8,No,74.9
